Company Name,Reviews,Total Reviews,Company Description
Texas Roadhouse,3.7,10483 reviews,At Texas Roadhouse we believe in putting our people first. We’re about loving what you’re doing today and preparing you for what you’ll be doing tomorrow.
Dunkin',3.3,27100 reviews,
Outlier AI,1.9,187 reviews,
DICK'S Sporting Goods,3.4,8571 reviews,"DICK'S Sporting Goods is a leading omni-channel sporting goods retailer offering an extensive assortment of authentic, high-quality sports equipment, apparel, footwear and accessories."
DHL,3.6,27754 reviews,"DHL Group is the global market leader of the international express and logistics industry, specializing in providing innovative and customized solutions from a single source."
TSA (Transportation Security Administration),3.1,2994 reviews,"At TSA, our mission is to protect the nation’s transportation systems to ensure freedom of movement for people and commerce. TSA offers a variety of opportunities nationwide!"
DaVita,3.2,8013 reviews,"DaVita strives to improve patients' quality of life by innovating clinical care, offering treatment plans, and personalized care teams."
Macy's,3.6,40818 reviews,"Macy’s, Inc., one of America’s most enduring, storied brands, has grown into a digitally led omnichannel retailer. It has its headquarter in NYC, with approximately 90,000 employees nationwide."
The Coca-Cola Company,3.8,10676 reviews,The Coca-Cola Company is a total beverage company with products sold in more than 200 countries and territories.
Menards,3.4,9837 reviews,
U.S. Army,4.3,82597 reviews,"With jobs in over 90 different fields, the U.S. Army health care team can help you succeed in almost any medical career. Apply today!"
Bath & Body Works,3.8,11386 reviews,"WE MAKE THE WORLD A BRIGHTER, HAPPIER PLACE THROUGH THE POWER OF FRAGRANCE. This idea is what we were founded on, and it’s at the heart of everything we do. Get to know us a little better."
Labcorp,3.3,8373 reviews,
YMCA,3.9,34428 reviews,"YMCA Worcestershire is an independent Christian charity working to transform communities in Worcestershire. Our Vision is an inclusive future, where all can reach their true potential."
UnitedHealth Group,3.6,18601 reviews,UnitedHealth Group is the most diversified health care company in the United States and worldwide leader helping people live healthier lives
Spectrum,3.3,20580 reviews,"Spectrum is the nation’s fastest-growing TV, Internet and Voice company, with over 100,000 employees country-wide."
AT&T,3.7,47104 reviews,"Our people have been changing how communities live, work and play for over 140 years. We're shaping the future by inspiring progress, standing for equality and making a difference through #LifeAtATT."
Pizza Hut,3.5,37799 reviews,"More than 55 years ago, two brothers borrowed $600 from their mom and set out to change the way the world experienced pizza. From our modest"
Marriott International,4.0,25221 reviews,"With more than 8,300 hotels and 30+ hotel brands worldwide, the career opportunities with Marriott are endless. Experience our story."
O'Reilly Auto Parts,3.3,9998 reviews,"Whether you're interested in running a local store, managing a distribution center, or climbing the corporate ladder, O’Reilly has a career path in which you can truly thrive. Come Work at the O!"
Tyson Foods Incorporated,3.6,10825 reviews,"World headquartered in Springdale, Arkansas, Tyson Foods Incorporated is one of the biggest producers of meat and poultry in the world."
United States Secret Service,4.0,180 reviews,"Choosing the right career is an important decision. United States Secret Service positions demand integrity, great work ethic and teamwork."
Amazon DSP,2.9,3481 reviews,"Amazon Delivery Service Partners (DSPs) are independent businesses that partner with Amazon to deliver packages. They offer competitive compensation, benefits, and opportunities for career growth."
Tractor Supply,3.4,6125 reviews,"Headquartered in Brentwood, Tennessee, Tractor Supply Company is the biggest operator of rural lifestyle retail stores in the U.S."
Dutch Bros Coffee,4.0,1216 reviews,"Dutch Bros mission statement: We are a fun-loving, mind-blowing company that makes a massive difference one cup at a time."
Lockheed Martin,4.0,9694 reviews,"Lockheed Martin Canada: #1 Defence Company in 2020 With a rich history supporting collective success across Canadian industry, Lockheed Martin Canada continues to grow this positive impact as Canada’"
Alorica,2.9,19481 reviews,We provide insanely great customer experiences for the world's biggest brands.
Cintas,3.2,6642 reviews,
Sonic Drive-In,3.4,22624 reviews,"We encourage and attract wildly creative people. Bold, unique personalities who are passionate for what they do. Sound like you? Get to know us."
Panda Restaurant Group,3.5,6646 reviews,"Panda Restaurant Group, parent company of Panda Inn, Panda Express and Hibachi-San, is dedicated to becoming a world leader in people development."
Food Lion,3.5,13019 reviews,"Food Lion based in Salisbury, North Carolina since 1957."
NIKE,4.1,12532 reviews,"NIKE, Inc. is the world’s leading designer, marketer and distributor of authentic athletic footwear, apparel, equipment and accessories for a wide variety of sports and fitness activities."
Panera Bread,3.3,22583 reviews,We are inspired by our mission and purpose in everything we do: “One Panera for a Healthier and Happier World.”
Goodwill Industries,3.4,19900 reviews,
